TransactionDate,CustomerAgeBucket,State,CustomerGender,CustomerIncomeGroup,MarketChannel,ProductCategory,ProductSubCategory,ProductBrand,ProductName,UnitCost,ProductCost,NumberOfUnits,DiscountRate,TotalCost,ShippingCost,Profit,PaymentMethod,DeliveryTime
2021-08-25,36-45,TX,Female,Middle,PPC,Beauty,Makeup,Maybelline,Fit Me Foundation,13.0,15.0,5.0,1.69,64.0,6.0,-17.0,Debit Card,4.0
2021-08-25,26-35,NY,Female,Low,Organic,Electronics,Laptops,HP,Pavilion,782.0,600.0,2.0,0.71,1565.0,22.0,343.0,Digital Wallet,5.0
2021-08-25,46-55,FL,Male,Low,Affiliates,Electronics,Smartphones,Apple,iPhone SE,541.0,400.0,3.0,1.61,1624.0,19.0,405.0,Digital Wallet,4.0
2021-08-25,26-35,PA,Female,Low,App,Beauty,Skincare,Neutrogena,Oil-Free Acne Wash,18.0,15.0,1.0,0.99,18.0,5.0,-2.0,Debit Card,3.0
2021-08-25,26-35,GA,Male,Middle,Email,Beauty,Skincare,Neutrogena,Hydro Boost Gel,22.0,20.0,4.0,1.07,89.0,5.0,5.0,Digital Wallet,5.0
2021-08-25,36-45,TX,Male,Low,Email,Clothing,Jeans,Wrangler,Regular Fit,51.0,35.0,2.0,1.87,102.0,6.0,26.0,Debit Card,4.0
2021-08-25,46-55,GA,Female,Middle,Organic,Home,Furniture,Ashley Furniture,Dining Table,320.0,200.0,1.0,1.06,320.0,12.0,108.0,Credit Card,5.0
2021-08-25,18-25,TX,Male,Middle,Others,Beauty,Makeup,Maybelline,Lash Sensational Mascara,15.0,10.0,6.0,1.36,91.0,6.0,25.0,Debit Card,6.0
2021-08-25,36-45,TX,Female,Middle,Affiliates,Clothing,Jeans,Levis,Slim Fit,65.0,50.0,2.0,1.34,130.0,6.0,24.0,Credit Card,5.0
2021-08-25,56-65,NC,Female,Middle,Organic,Beauty,Skincare,Neutrogena,Rapid Wrinkle Repair,35.0,20.0,1.0,1.53,35.0,8.0,8.0,BNPL,4.0
